country,Year,DCI
Canada,1995,0.752247455
Canada,1996,0.747759561
Canada,1997,0.74193218
Canada,1998,0.739875518
Canada,1999,0.73938056
Canada,2000,0.73778131
Canada,2001,0.735699253
Canada,2002,0.729025264
Canada,2003,0.728536116
Canada,2004,0.734113307
Canada,2005,0.73917964
Canada,2006,0.738645698
Canada,2007,0.739192173
Canada,2008,0.72522778
Canada,2009,0.726351957
Canada,2010,0.72583322
Canada,2011,0.725392173
Canada,2012,0.725144665
Canada,2013,0.7243498
Canada,2014,0.727928922
Denmark,1816,0.870509152
Denmark,1817,0.867314981
Denmark,1818,0.864002899
Denmark,1819,0.860650288
Denmark,1820,0.857168673
Denmark,1821,0.85054478
Denmark,1822,0.856011047
Denmark,1823,0.861056993
Denmark,1824,0.885971411
Denmark,1825,0.885371609
Denmark,1826,0.88477731
Denmark,1827,0.884149352
Denmark,1828,0.883566132
Denmark,1829,0.882949785
Denmark,1830,0.882339276
Denmark,1831,0.881734502
Denmark,1832,0.881135363
Denmark,1833,0.880541761
Denmark,1834,0.86234728
Denmark,1835,0.879370794
Denmark,1836,0.878793245
Denmark,1837,0.874172128
Denmark,1838,0.869348055
Denmark,1839,0.864263101
Denmark,1840,0.883986552
Denmark,1841,0.869640179
Denmark,1842,0.852470187
Denmark,1843,0.82771789
Denmark,1844,0.830482354
Denmark,1845,0.83623446
Denmark,1846,0.838675758
Denmark,1847,0.838085235
Denmark,1848,0.837500403
Denmark,1849,0.870421968
Denmark,1850,0.833260049
Denmark,1851,0.832487093
Denmark,1852,0.831723947
Denmark,1853,0.830941586
Denmark,1854,0.830169305
Denmark,1855,0.826274746
Denmark,1856,0.825524633
Denmark,1857,0.824783871
Denmark,1858,0.824052243
Denmark,1859,0.823329541
Denmark,1860,0.822589286
Denmark,1861,0.821858195
Denmark,1862,0.821110432
Denmark,1863,0.820372049
Denmark,1864,0.872443644
Denmark,1865,0.886489484
Denmark,1866,0.896566135
Denmark,1867,0.901219024
Denmark,1868,0.908807015
Denmark,1869,0.885931581
Denmark,1870,0.885507282
Denmark,1871,0.882539788
Denmark,1872,0.884250754
Denmark,1873,0.883426384
Denmark,1874,0.882612375
Denmark,1875,0.809442389
Denmark,1876,0.80870664
Denmark,1877,0.807619831
Denmark,1878,0.77639613
Denmark,1879,0.726401974
Denmark,1880,0.725771028
Denmark,1881,0.725458328
Denmark,1882,0.724838371
Denmark,1883,0.724225544
Denmark,1884,0.723619694
Denmark,1885,0.746016543
Denmark,1886,0.771173869
Denmark,1887,0.790049923
Denmark,1888,0.805105946
Denmark,1889,0.809086654
Denmark,1890,0.808456837
Denmark,1891,0.803535704
Denmark,1892,0.792834596
Denmark,1893,0.792231877
Denmark,1894,0.791635401
Denmark,1895,0.772818096
Denmark,1896,0.771967038
Denmark,1897,0.794201537
Denmark,1898,0.770302765
Denmark,1899,0.76948886
Denmark,1900,0.761729201
Denmark,1901,0.76094524
Denmark,1902,0.760172289
Denmark,1903,0.759410063
Denmark,1904,0.758658285
Denmark,1905,0.758162774
Denmark,1906,0.757427828
Denmark,1907,0.756702646
Denmark,1908,0.762655976
Denmark,1909,0.779640143
Denmark,1910,0.778687697
